jet velocity, uncertainty of jet velocity, flow, uncertainty of flow
0.91662099529635,0.011563114110149,105,5.25
0.911068865967956,0.0128332168293688,95,4.75
0.84331140818863,0.0112986798523926,84,4.2
1.85709076995924,0.0240354485093693,96,4.8
1.95094858109403,0.0248060335297073,115,5.75
2.05893112626766,0.0378177048556367,122,6.1
2.0385188903046,0.0308432203774354,130,6.5
2.14080659501673,0.0344341184987105,140,7
2.48299950802732,0.0419918606943952,196,9.8
2.35502139049524,0.0406543426572364,183,9.15
1.29933141407373,0.0165829830549255,130,6.5
1.48747878200987,0.0200749408885508,130,6.5
1.09287737574663,0.0151527776560811,104,5.2
1.13665764636453,0.0155608176730342,110,5.5
1.14924677798866,0.0160241878098475,114,5.7
1.11004345296708,0.0163202624689498,124,6.2
1.4619256978923,0.0206126186926962,140,7
1.4025293272029,0.0195455658357244,127,6.35
1.39313786570592,0.018494012876819,114,5.7
1.32712069874041,0.0170935198547723,104,5.2
