jet velocity, uncertainty of jet velocity, flow, uncertainty of flow
1.36368903350619,0.0192433799326242,96,4.8
0.965416004223489,0.0123462864612577,54,2.7
0.874037170390752,0.0110503247290457,46,2.3
1.77185852358881,0.0229067070105965,136,6.8
1.56063048443218,0.0201023157201486,119,5.95
1.18109377770269,0.0149024789025575,80,4
1.42930550301778,0.0180861807233646,63,3.15
1.71333940276081,0.0245372880123584,93,4.65
1.62201961975622,0.0223981396160435,80,4
1.84763446934051,0.0234651074488523,106,5.3
1.89577820334551,0.0276963186642687,112,5.6
1.87327713842673,0.0238785539975375,74,3.7
1.86984143304185,0.0271300766859233,81,4.05
2.08462836162669,0.0306470258516158,101,5.05
2.00195178602268,0.0274400407558304,91,4.55
1.72521295373888,0.0216712701932316,69,3.45
1.82250458198315,0.0242558499243346,77,3.85
1.89321857994558,0.0241748351208715,90,4.5
2.00893760216288,0.0292977235920185,104,5.2
2.03882141987185,0.0301657893072095,112,5.6
