jet velocity, uncertainty of jet velocity, flow, uncertainty of flow
0.955163939405914,0.0122316682213715,124,6.2
0.972861803981674,0.01254924634893,116,5.8
0.921658135408938,0.011707848485585,110,5.5
1.06158784326512,0.0137920304777569,135,6.75
1.12365174897037,0.0140601021767794,149,7.45
1.21693872355055,0.0154367145151046,172,8.6
1.34386793313631,0.0170167030054133,184,9.2
1.7883355576779,0.0316421871495117,180,9
1.87517773370746,0.0247708271215082,157,7.85
1.37954736525406,0.0186160683197859,143,7.15
1.1850359704865,0.017094502868068,138,6.9
1.34880368054255,0.0208085263935022,156,7.8
1.36317515297733,0.0214710168537143,165,8.25
1.49235990332968,0.0228016814033085,180,9
1.7074752273465,0.0287282288597017,199,9.95
1.70839061435265,0.0238604828269472,199,9.95
1.62540232525515,0.0206478523370466,181,9.05
1.51472750909371,0.0224678274699769,171,8.55
1.50097518195539,0.0203870519459823,164,8.2
1.52486021260576,0.0223996617482207,155,7.75
1.50032305074901,0.0197518450312172,148,7.4
