jet velocity, uncertainty of jet velocity, flow, uncertainty of flow
0.759906607095275,0.00970991385159777,35.3,1.765
0.829814421728572,0.0104587548392304,40,2
0.636126629169172,0.00809202411051189,23,1.15
1.91158977042226,0.0251520884068183,144,7.2
1.83382803133888,0.0257213152939218,140,7
1.44399746116325,0.01892134869922,53,2.65
1.45647873885667,0.0186805400863793,61,3.05
2.25119644346278,0.0404010803441148,136,6.8
1.32165251888509,0.0188578318900945,40,2
1.84435080765437,0.025975565176209,69,3.45
1.84317937108129,0.025190141921599,63,3.15
1.6694751860868,0.0214092033074379,44,2.2
2.21489450438951,0.0327689117738227,108,5.4
1.76904173976492,0.0256646778586714,64,3.2
2.25922213413715,0.0301567323793944,117,5.85
1.67487699338156,0.0232045476453613,48,2.4
