jet velocity, uncertainty of jet velocity, flow, uncertainty of flow
0.78708943492764,0.0101278132555898,63,3.15
0.781022851787898,0.0101190492327993,59,2.95
0.753964446398229,0.00998514357952597,49,2.45
0.708403504594695,0.00896727948738805,39,1.95
1.07266126022121,0.0140265454881442,63,3.15
1.05127772946307,0.0137616499220874,56,2.8
0.886439137151381,0.011211058582036,37,1.85
1.318888416879,0.0192678323596211,60,3
1.31244652776316,0.017510517712778,68,3.4
1.40068730004041,0.0255370962676696,70.5,3.525
1.13319535787148,0.0150093781027075,54,2.7
1.1532836118384,0.0148147529724729,49,2.45
1.52326019179592,0.021883322596392,74,3.7
1.43377107988522,0.0209544601367952,66,3.3
1.31438123248768,0.0167921906261174,54,2.7
2.01199483822018,0.0342010007729337,161,8.05
1.56563232001176,0.0215354886120147,75,3.75
1.64870409552816,0.0221304527666189,77,3.85
1.52975833186553,0.0209191864333558,67,3.35
1.56317641956441,0.0249907010268739,57,2.85
1.95626218656192,0.0291511424045023,85,4.25
1.89287878183908,0.0305270804766345,91,4.55
2.4031973762854,0.0396530163663845,117,5.85
2.40513076303425,0.0412224547377498,107,5.35
1.8449111497336,0.028962298910566,77,3.85
1.53789582726246,0.0238012999824994,58,2.9
2.18225043131165,0.0318427674578453,126,6.3
1.53374110361731,0.0217393267617023,72,3.6
1.44165266246056,0.0188097015079752,67,3.35
1.42329051942739,0.0181499945536991,58,2.9
