flow, uncertainty of flow, transition depth
132.4,2.4,5.73
122.3,3.2,4.8
104.6,2.1,4.28
95.3,1.6,3.59
79.9,1,2.28
74.9,0.9,1.81
68.5,0.4,0.79
84,0.9,2.95
